通知链接,通知标题,发布时间
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2725,【留基委项目】关于遴选2023年加拿大Mitacs本科生实习合作奖学金候选人的通知,2022-09-01
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2724,【留基委项目】关于遴选2023年加拿大阿尔伯塔大学本科生实习奖学金候选人的通知,2022-09-01
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2723,关于报名2023年春季学期自费访学项目的通知,2022-09-01
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34602,关于公布2023年春季香港大学交换项目候选人名单的通知,2022-08-30
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34592,关于举办第十四届山东省大学生科技节——“上汽通用五菱杯”第三届山东省大学生创新方法大赛的通知,2022-08-27
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34582,关于做好2022年秋季学期本科教学准备工作的通知,2022-08-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34572,关于做好本科毕业设计（论文）抽检工作的通知,2022-08-23
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2681,关于报名2023年春季香港大学交换项目的通知,2022-08-11
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2651,关于转发2022第六届金砖国家技能发展与技术创新大赛的通知,2022-07-27
http://www.lib.sdu.edu.cn/article/index.html#,转发：2022首届“山东大学专利新星”评选结果公示,2022-07-15
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1019&wbnewsid=34512,关于开展2022年度国家语委科研项目申报工作的通知,2022-07-07
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2591,关于本科生报名德国乌尔姆大学2023年春季学期交换项目的通知,2022-07-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34502,关于维护2022-2023学年第1学期教学日历的通知,2022-07-05
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34482,关于2022年暑期学校开设助学类课程的通知,2022-07-01
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34473,关于2022-2023学年第1学期部分课程停开的通知,2022-07-01
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34452,关于组织第四届全国高校混合式教学设计创新大赛校赛现场说课答辩的通知,2022-06-28
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2551,关于遴选2022年德国安联奖学金候选人的通知,2022-06-24
https://www.lit.sdu.edu.cn/info/1014/17915.htm,山东大学东营市幼儿园教师及保育员普通话线上培训助教遴选结果公示,2022-06-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34416,关于公布2022-2023学年第1学期稷下创新讲堂、齐鲁创业讲堂课程开课安排的通知,2022-06-21
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1023&wbnewsid=34413,关于开展2021-2022-2学期期末本科课堂教学评估的通知,2022-06-20
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34402,关于期末考试周为监考教师增开至兴隆山校区交通车的通知,2022-06-17
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34393,关于2022届本科毕业生办理中英文学历、学位证明的通知,2022-06-16
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34382,山东大学2022-2023学年第一学期本科生选课通知,2022-06-14
https://oa.sdu.edu.cn/sdu_cms.jsp;jsessionid=8CF0403B770A3137372428CC684F7E26?messageId=4da9be12-1e1e-47c2-bf07-ec43b759ccca,关于做好山东大学2022年“平安留学”行前培训工作的通知,2022-06-10
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34366,关于2022届本科毕业生学籍档案归档工作的通知,2022-06-08
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34364,关于做好2021-2022-2学期期末考试工作的通知,2022-06-08
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34363,山东大学2022年获得创新学分学生名单公示,2022-06-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34362,关于举行2022年度iCAN大学生创新创业大赛的通知,2022-06-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34345,关于2022年大学生创新创业训练计划拟立项项目公示的通知,2022-05-31
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34343,关于开展2022年第五期信息化教学案例及经验分享交流活动的通知,2022-05-31
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34333,关于2022年6月全国大学英语四、六级考试安排的通知,2022-05-27
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34332,友好高校暑期项目：哈尔滨工业大学2022年线上国际暑期学校报名通知,2022-05-27
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34322,关于2021-2022学年第3学期部分课程停开的通知,2022-05-27
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34314, 关于做好2022年6月全国大学英语四、六级考试监考人员选派及培训工作的通知,2022-05-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1019&wbnewsid=34313,关于招募遴选山东大学东营市幼儿园教师及保育员普通话线上培训助教的通知,2022-05-27
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34302,关于评选山东大学2022届本科优秀毕业论文（设计）的通知,2022-05-26
http://www.sdast.org.cn/art/2022/5/19/art_60378_10301579.html,转发：关于举办第十四届山东省大学生科技节第二届山东省大学生复合材料科技创新竞赛的通知,2022-05-25
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34282,关于做好2022届毕业生荣誉学士学位人选推荐工作的通知,2022-05-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1023&wbnewsid=34273,关于组织学生参加2022年度“中国大学生学习与发展追踪研究”项目问卷调查的通知,2022-05-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34272,2022年春季学期本科生转专业拟录取名单公示,2022-05-23
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=34264,关于开展碳达峰碳中和领域教学资源征集工作的通知,2022-05-23
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34252,关于公布第七届山东大学大学生创新创业大赛暨第十八届山东大学大学生科技创新大赛获奖名单的通知,2022-05-19
http://www.chuangye.sdu.edu.cn/info/1002/1365.htm,关于举办第十三届山东省大学生创业计划大赛通知,2022-05-18
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34232,关于做好2022届毕业生毕业资格审核工作的通知,2022-05-17
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34222,关于开展混合式教学设计创新大赛专题讲座的通知,2022-05-16
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34213,关于编辑2022-2023学年第1学期教学安排的通知,2022-05-13
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2451,熊本大学2022年秋季入学本科生工科双学位项目报名通知,2022-05-13
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34202,关于2022年暑期学校选课的通知,2022-05-11
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34182,关于“国创计划”十五周年纪念丛书征文的通知,2022-05-09
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34175,关于做好2021-2022学年第2学期考试工作的通知,2022-05-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34174,关于组织申报2022年度“创新学分”的通知,2022-05-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34173,关于组织申报2022年山东大学大学生国家级、省级、校级创新创业训练计划项目的正式通知,2022-05-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34162,关于做好2022届本科毕业论文（设计）答辩工作的通知,2022-04-28
http://www.lib.sdu.edu.cn/article/index.html#http://www.lib.sdu.edu.cn/article/view/id-4991.html,转发：关于开展2022年“山东大学专利新星”评选活动的通知,2022-04-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34152,关于做好2022届应届毕业生交流学分认定工作的通知,2022-04-26
http://www.pspa.qd.sdu.edu.cn/info/1033/11906.htm,“公共管理+信息”双学位招生宣讲会通知,2022-04-26
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1016&wbnewsid=34122,“力诺瑞特杯”山东大学第十三届（2022）大学生节能减排社会实践与科技竞赛结果公示,2022-04-25
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1023&wbnewsid=34112,关于开展2021-2022-2学期期中本科课堂教学评估的通知,2022-04-25
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34092,关于做好2022年春季学期本科生转专业工作的通知,2022-04-21
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=34083,关于公布2022年秋季港澳台地区友好高校交换生项目（二）候选人推荐名单的通知,2022-04-21
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=34082,关于开展2022年度微专业相关工作的通知,2022-04-21
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34075,转发工业和信息化部办公厅关于组织开展金砖国家工业创新大赛的通知,2022-04-18
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=34073,关于开展教师在线教学心理素养提升专题活动的通知,2022-04-18
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=34025,关于报送2022年春季学期本科生转专业工作方案的通知,2022-04-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1023&wbnewsid=34013,关于配合做好工程教育认证教学资料调取的通知,2022-04-13
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2401,关于本科生报名2022年秋季日本大学交换生项目的通知,2022-04-12
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=34002,关于征集山东大学创新创业学院入驻项目的通知,2022-04-12
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33982,“力诺瑞特杯”山东大学第十三届（2022）大学生节能减排社会实践与科技竞赛决赛通知,2022-04-11
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33962,山东大学本科生院非事业编制岗位招聘进入考察体检人员名单,2022-04-08
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33940,关于组织申报2022年山东大学大学生国家级、省级、校级创新创业训练计划项目的预通知,2022-04-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33939,关于组织2021年度国家级、省级、校级大学生创新创业训练计划项目结题工作的通知,2022-04-07
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=33910,关于开展2022届本科毕业论文（设计）中期检查的通知,2022-04-06
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33884,关于开展2022年第三期在线教学案例及经验分享交流活动的通知,2022-04-05
http://www.lib.sdu.edu.cn/article/index.html#http://www.lib.sdu.edu.cn/article/view/id-4971.html,转发：山东大学第三届创新和学术信息能力成长微学堂春季课程开课通知,2022-04-04
https://mp.weixin.qq.com/s?__biz=MjM5NTQyNjU1NA==&mid=2649894877&idx=1&sn=a53cd1248c3dd4eb8e41de2d9b60011d&chksm=befe36488989bf5ecaaea7d2d28805b35ebc6de16ce5e4bae168f17ae3ef61f0e314815eedea&token=337274870&lang=zh_CN#rd,关于组织参加2022“智慧芽杯”高校专利检索大赛的通知,2022-04-04
https://www.math.sdu.edu.cn/info/1028/11332.htm,转发：山东大学数学院2022年辅修学士班招生通知,2022-04-04
https://www.glxy.sdu.edu.cn/info/1069/5996.htm,转发：2022年山东大学管理学院会计学专业辅修学士学位招生简章,2022-04-02
https://www.law.sdu.edu.cn/info/1019/10565.htm,转发：2022年山东大学法学院法学专业辅修学士学位招生简章,2022-04-01
https://www.econ.sdu.edu.cn/info/1940/59661.htm,转发：经济学院2022年本科辅修学士学位招生简章,2022-04-01
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33832,山东大学本科生院非事业编制岗位招聘进入面试人员名单,2022-03-31
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33822,关于开展2022年第二期在线教学案例及经验分享交流活动的通知,2022-03-30
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=33813,关于做好2022届毕业生图像信息核对及补报工作的补充通知,2022-03-29
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=33812,关于开展2022年本科生辅修学士学位工作的通知,2022-03-28
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33802,关于山东大学第十七届（2022年）大学生机电产品创新设计竞赛获奖名单公示的通知,2022-03-28
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33782,山东大学本科生院非事业编制岗位招聘进入笔试人员名单,2022-03-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=33772,关于公布2022年度艺术类人才培养特别项目候选人推荐名单的通知,2022-03-25
http://control.sdu.edu.cn/info/1058/5742.htm,关于举办2022“未来IP专家”高校精英赛的通知,2022-03-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33755,本科生院拟聘非事业编制人员公示,2022-03-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33752,2022年第一期在线教学案例及经验分享交流活动通知,2022-03-24
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=33745,关于开展本科一流专业及新增设专业建设情况汇报的通知,2022-03-23
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=33734,关于编制审核2022年秋季学期教学执行计划的通知,2022-03-22
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2361,关于报名2022年秋季港澳台地区友好高校交换生项目的通知（二）,2022-03-22
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2372,关于报名2022年秋季学期美国自费访学项目的通知,2022-03-22
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33722,关于变更“力诺瑞特杯”山东大学第十三届（2022年）大学生节能减排社会实践与科技竞赛作品提交方式的通知,2022-03-21
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33713,关于举办2022学年春季学期山东大学教师在线教学能力提升研修班的通知,2022-03-18
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33702,关于组织参加2022年（第15届）中国大学生计算机设计大赛校内赛的通知,2022-03-18
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=33697,关于开展2018年度省级本科教改项目结题验收工作的通知,2022-03-17
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2351,关于本科生报名2022年秋季加拿大女王大学交换生项目的通知,2022-03-17
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2352,关于本科生报名2022年秋季阿德莱德大学交换生项目的通知,2022-03-17
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2341,关于本科生报名韩国汉阳大学ERICA校区SESP奖学金项目的通知,2022-03-17
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33692,在线教学技能提升专题培训通知—雨课堂在线直播课堂的互动策略,2022-03-17
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1023&wbnewsid=33684,关于开展山东大学2022年春季学期1-4周本科教学情况调查的通知,2022-03-17
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33673,关于做好2022年6月全国大学英语四、六级考试报名工作的通知,2022-03-15
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1266&wbnewsid=33672,关于组织开展“2022年山东大学宏晶杯单片机应用技术竞赛”的通知,2022-03-15
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1018&wbnewsid=33664,关于山东大学2022年暑期学校工作安排的通知,2022-03-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1021&wbnewsid=33662,在线教学技能提升专题培训通知—雨课堂在线教学主要功能及操作,2022-03-14
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33642,山东大学本科生院非事业编制人员招聘公告,2022-03-10
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1015&wbnewsid=33632,关于征集山东省本科高校重大教学改革研究项目课题建议的通知,2022-03-09
content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=33622,关于做好2022届毕业生图像信息核对及补报工作的通知,2022-03-09
https://www.ipo.sdu.edu.cn/wdhcontent.jsp?urltype=news.NewsContentUrl&wbtreeid=1006&wbnewsid=2293,关于报名2022年秋季港澳台地区友好高校交换生项目的通知,2022-03-08
