标题,分类,,,,,,热力值,链接
写信给市长信箱真的有用吗？,公正,权利,社会公平,,,,7.1229875,https://www.zhihu.com/question/440221628
如果虐文女主突然醒悟，会有什么故事？,小说创作,虐文,古言,,,,7.1134375,https://www.zhihu.com/question/516486460
有没有甜甜的校园小短文？,甜,短文,,,,,7,https://www.zhihu.com/question/277505631
为什么华为一定要加那么多的班？能不能降点工资，让员工好好过过生活，陪陪家人？,加班,,市场经济,,,,7,https://www.zhihu.com/question/33573060
安检人员曾检查出哪些可怕/奇怪的物品？,调查类问题,安检,航空安全,,,,7,https://www.zhihu.com/question/38032768
为什么美国医生看一个病人要半个小时左右，而中国医生五分钟就能看一个？,医生,手术,,,,,7,https://www.zhihu.com/question/561250343
俄乌双方都围绕赫尔松地区展开积极战场准备，赫尔松之战有多重要？如何预测其走势？,军事,俄罗斯,乌克兰,,,,7,https://www.zhihu.com/question/458516980
有没有什么巨爽无比的爽文？,故事,小说创作,穿越文,,,,7,https://www.zhihu.com/question/561268186
如何评价周杰伦 10 月 21 日发布的《红颜如霜》MV？,歌手,周杰伦（人物）,音乐视频（MV）,,,,7,https://www.zhihu.com/question/284966366
所以《我不是药神》里究竟是谁错了？,电影,现实,社会,,,,7,https://www.zhihu.com/question/559270788
